# combat log type: DOTA_COMBATLOG_DAMAGE
# examples: 15
replay=8915936762.dem tick=5417 timestamp=209.133 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_pudge target=npc_dota_observer_wards damage_source=npc_dota_hero_pudge value=50 attacker_team=3 target_team=2 is_attacker_hero=true
replay=8915936762.dem tick=5509 timestamp=212.167 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_pudge target=npc_dota_hero_skywrath_mage inflictor=pudge_meat_hook damage_source=npc_dota_hero_pudge health=592 value=150 attacker_team=3 target_team=2 last_hits=1 damage_type=4 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5535 timestamp=213.067 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_skywrath_mage target=npc_dota_hero_night_stalker inflictor=skywrath_mage_concussive_shot damage_source=npc_dota_hero_skywrath_mage health=692 value=88 attacker_team=2 target_team=3 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5545 timestamp=213.400 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_pudge target=npc_dota_hero_skywrath_mage damage_source=npc_dota_hero_pudge health=524 value=72 attacker_team=3 target_team=2 last_hits=1 damage_type=1 damage_category=1 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5571 timestamp=214.233 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_skeleton_king inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=642 value=6 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5585 timestamp=214.700 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_night_stalker target=npc_dota_hero_skywrath_mage inflictor=night_stalker_void damage_source=npc_dota_hero_night_stalker health=480 value=47 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5585 timestamp=214.733 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_snapfire inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=692 value=6 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5585 timestamp=214.733 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_skeleton_king inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=637 value=6 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5585 timestamp=214.733 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_skywrath_mage inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=475 value=5 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5601 timestamp=215.233 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_skywrath_mage inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=472 value=5 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5601 timestamp=215.233 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_snapfire inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=688 value=6 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5613 timestamp=215.667 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_skeleton_king damage_source=npc_dota_hero_warlock health=592 value=48 attacker_team=3 target_team=2 damage_type=1 damage_category=1 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5615 timestamp=215.733 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_skywrath_mage inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=468 value=5 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5615 timestamp=215.733 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_warlock target=npc_dota_hero_snapfire inflictor=warlock_shadow_word damage_source=npc_dota_hero_warlock health=683 value=6 attacker_team=3 target_team=2 damage_type=2 is_attacker_hero=true is_target_hero=true
replay=8915936762.dem tick=5617 timestamp=215.767 type=DOTA_COMBATLOG_DAMAGE attacker=npc_dota_hero_skeleton_king target=npc_dota_hero_pudge inflictor=skeleton_king_hellfire_blast damage_source=npc_dota_hero_skeleton_king health=661 value=59 attacker_team=2 target_team=3 damage_type=2 is_attacker_hero=true is_target_hero=true
