# pathcorner lane table cross-replay consistency
# replay_a: /home/ihort/projects/dota-prj/manta-labs/../dota-replays/8915936762.dem
# replay_b: /home/ihort/projects/dota-prj/manta-labs/../dota-replays/8934466456.dem
# columns: pathcorner | real_lane_a | real_lane_b | lane_match | pos_delta | spawns_a | spawns_b
pathcorner	real_lane_a	real_lane_b	lane_match	pos_delta	spawns_a	spawns_b
# overlapping pathcorners: 9
# real_lane mismatches: 0
lane_bot_pathcorner_badguys_1	bot	bot	True	619	8	7
lane_bot_pathcorner_badguys_4	bot	bot	True	1023	8	19
lane_bot_pathcorner_goodguys_2	bot	bot	True	54	83	112
lane_mid_pathcorner_badguys_4	mid	mid	True	182	45	46
lane_mid_pathcorner_badguys_7	top	top	True	52	263	329
lane_mid_pathcorner_goodguys_1	mid	mid	True	161	109	125
lane_mid_pathcorner_goodguys_3	mid	mid	True	58	301	329
lane_top_pathcorner_badguys_2b	top	top	True	1240	5	1
lane_top_pathcorner_badguys_4	top	top	True	304	33	40
